Tuition fees up to date,Course,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,9670,18,6,3,11.66666667,5,6,4,13.5,2
1,9853,27,9,5,13.2,6,10,5,12,3
1,9500,20,8,4,11.95,7,8,4,11.95,1
1,9853,18,8,5,12.4,6,12,5,10.4,1
1,9500,33,8,6,14.35,8,10,6,14.58333333,1
1,9853,35,21,21,12.61904762,19,19,19,12.78947368,3
1,9991,26,7,6,12.66666667,6,7,6,13.16666667,2
0,9773,27,6,5,12,6,6,0,0,1
0,9070,19,6,6,12.16666667,6,6,0,0,1
1,9254,20,0,0,0,6,0,0,0,1
0,9147,20,9,3,10,5,9,3,10.57142857,1
0,9238,21,18,8,11.5,6,12,4,10,2
1,9500,18,7,6,13.05,7,7,6,13.05,3
1,9085,24,10,2,11,6,6,0,0,1
1,9070,20,7,6,11.5,6,6,6,12,3
1,9254,21,7,6,12,6,6,6,12.5,3
1,8014,23,13,2,10,5,12,1,10,2
1,9147,24,5,0,0,5,5,0,0,1
1,9853,21,0,0,0,6,0,0,0,1
1,9500,18,8,7,12.24285714,8,8,7,12.24285714,3
1,9991,27,0,0,0,5,0,0,0,1
1,9500,18,8,8,12.93375,8,8,8,12.93375,3
1,9119,35,0,0,0,5,0,0,0,1
1,9853,18,9,7,12.57142857,7,8,7,14.42857143,3
1,9500,35,4,3,11.81666667,3,3,3,11.33333333,2
1,9085,19,9,4,13.75,5,13,4,14.33333333,3
1,9238,20,8,6,11.16666667,6,6,6,11.33333333,3
1,9500,18,8,7,12.32428571,8,8,7,12.32428571,3
1,9238,21,6,6,12.16666667,6,7,6,11.71428571,3
1,9238,18,11,5,11.14285714,6,11,4,11.25,3
1,9238,18,9,4,11,6,9,4,10.75,3
1,9500,18,8,7,12.91428571,8,8,7,12.91428571,3
1,9773,18,6,6,13.83333333,6,6,6,14.16666667,3
1,9085,19,8,6,13.85714286,6,9,5,13.4,3
1,9254,36,7,6,13.71428571,6,6,5,12.8,1
1,9500,18,8,7,12.64285714,8,8,7,12.64285714,3
1,9500,18,7,6,12.91666667,7,7,6,12.91666667,3
1,9130,20,8,6,15.625,6,8,6,15.85714286,3
1,9991,26,7,0,0,5,8,0,0,1
1,9773,21,8,6,11.71428571,6,7,6,12,3
1,9556,25,10,6,12.125,8,9,8,13.3125,2
1,9147,19,7,5,11.6,5,5,5,11.6,3
1,8014,24,11,1,10,6,6,0,0,1
1,8014,27,16,1,10,6,13,0,0,1
1,9085,21,10,0,0,5,9,2,13.5,1
1,9147,18,7,4,13,5,8,3,12.33333333,3
1,9853,19,6,6,13.33333333,6,6,6,14.5,3
1,9254,18,9,4,11.25,6,13,2,12.5,1
1,9500,19,9,5,13.85,8,9,7,12.19285714,3
1,9500,19,8,6,13.74166667,8,9,7,14.9125,3
1,9991,33,7,6,15.33333333,5,5,5,15.8,3
1,9147,45,6,5,11,5,5,5,13.8,3
1,9238,20,6,6,12,6,7,6,12.85714286,3
1,9670,28,5,0,0,5,5,0,0,1
1,9500,19,15,7,11.57142857,8,15,7,11.57142857,3
1,9254,18,10,6,12.85714286,6,6,3,12.66666667,3
1,9254,38,0,0,0,6,0,0,0,1
1,9670,19,5,5,13,5,5,5,13.2,3
1,9254,21,9,5,11,6,8,5,12,3
1,9147,21,12,3,12,5,12,1,15,1
1,9238,22,6,5,12.6,6,6,6,13,3
1,9853,18,8,5,13.4,6,7,6,13.16666667,3
1,9238,18,9,6,11.33333333,6,9,6,11.57142857,3
0,9130,25,14,4,13.5,5,10,4,14.25,1
0,9085,24,11,3,11.75,6,14,3,10.33333333,1
1,9500,19,10,6,12.47142857,7,8,7,11.4625,2
1,171,24,19,11,12.90909091,13,15,9,13.55555556,2
1,9147,20,5,5,11.6,5,5,5,13.6,3
0,9147,25,5,0,0,5,9,0,0,1
1,9147,20,13,9,12.9,10,12,10,12.36363636,3
1,9500,23,8,8,13.22,8,8,8,13.22,3
1,9500,19,8,7,13.15142857,8,8,7,13.15142857,3
0,9003,29,13,3,12.75,6,8,3,11.33333333,1
1,9254,21,8,6,11.33333333,6,8,4,12.25,3
1,9670,18,10,6,13.25,6,13,5,14.14285714,3
1,9070,19,7,5,12.4,6,6,5,12.4,2
1,9773,18,6,6,15,6,6,6,12.83333333,1
1,9085,19,6,5,14.4,5,6,5,13,3
1,9773,18,12,1,11,6,12,0,0,2
1,9147,18,8,5,12.4,5,6,5,10.8,3
0,9556,37,13,1,16,7,12,0,0,1
1,9991,29,10,5,13.57142857,5,14,5,12.33333333,3
1,9070,18,6,6,11.83333333,6,6,6,12.5,2
1,9238,19,8,5,11.66666667,6,9,5,12.66666667,3
0,9238,22,16,6,11.83333333,7,8,2,13,1
1,9254,20,8,6,11.16666667,6,10,5,10.6,3
1,8014,34,0,0,0,6,0,0,0,1
0,9119,30,17,8,11.75,12,19,6,12.16666667,1
1,9238,18,7,6,14,6,7,6,14,3
1,9238,18,6,6,12.83333333,6,6,6,12,3
1,9773,18,11,4,12.25,6,10,3,11.66666667,3
1,9500,18,8,7,14.82857143,8,8,7,14.82857143,3
1,9773,19,7,5,11.4,6,8,5,12.8,3
1,9070,19,6,6,13,6,8,6,12.5,3
1,9500,18,8,7,13.67142857,8,8,7,13.67142857,3
1,9003,21,9,6,12.66666667,6,8,5,12.8,3
0,9147,20,10,2,10,5,12,1,13,1
1,9147,20,10,5,13.5,5,8,5,12.33333333,3
1,9500,19,8,7,12.67,8,8,8,13.55,3
1,9238,20,8,6,14.5,6,7,6,15.42857143,3
1,9500,18,7,7,13.68571429,8,8,8,15.3875,3
1,9853,20,8,5,11,6,10,3,10.66666667,1
0,9130,29,16,7,11.55555556,7,12,5,13.2,1
1,9500,18,7,7,13.79714286,8,8,8,13.775,2
1,9500,20,8,7,14.00375,8,11,7,13.81285714,3
1,9147,22,8,4,12,5,8,4,11.4,3
1,8014,47,9,5,14.16666667,6,7,6,14.16666667,3
1,9991,31,5,5,14,5,5,5,13.8,3
1,9070,21,7,5,13.8,6,6,6,12.83333333,3
1,8014,21,8,5,12.8,6,10,6,11.85714286,3
1,9773,24,6,6,12.16666667,6,6,6,13.83333333,3
1,9070,18,8,6,12.5,6,6,6,12.33333333,2
1,8014,32,9,4,12,6,12,4,11.5,3
1,8014,19,8,6,10.83333333,6,9,6,11.5,3
1,9500,24,8,8,13.385,8,8,8,13.385,3
1,9085,19,14,6,15.66666667,6,9,6,14.5,3
1,9003,19,9,6,14.33333333,6,7,6,13.83333333,3
1,9003,24,10,6,11.42857143,6,12,5,13,2
1,9238,18,9,6,11.66666667,6,8,6,11.66666667,3
1,9070,19,9,5,12,6,10,2,11.33333333,1
1,9500,19,8,7,14.72571429,8,8,7,14.72571429,3
1,9773,18,6,6,14.16666667,6,6,6,13.66666667,3
1,9238,18,10,6,11.57142857,6,8,6,12.33333333,3
1,9556,20,7,7,12.5,8,8,8,13.1375,3
1,9500,18,10,8,12.86,8,10,8,12.86,3
1,9670,18,10,6,12.25,6,9,6,13.71428571,3
1,9085,21,7,4,12,5,5,5,12.2,3
1,9500,18,9,7,15.11666667,8,9,8,16.16888889,3
0,9670,18,6,2,12.5,5,6,4,10.25,1
1,9238,19,11,0,0,6,0,0,0,1
1,9670,19,8,4,11,6,9,4,11,2
1,9670,18,8,6,11.875,6,11,4,14.6,3
1,9130,34,6,1,11,5,5,0,0,1
1,9085,19,5,5,15.2,5,6,5,13.2,3
0,9130,19,7,5,11.6,6,12,2,11,1
1,9238,26,6,6,14.83333333,6,7,6,15.14285714,3
1,9853,21,12,3,11.33333333,6,10,3,11.33333333,1
1,9147,18,5,5,11.2,5,5,5,11.8,3
1,9853,20,8,5,13.4,6,9,5,13.66666667,3
1,9147,25,12,2,10.5,5,5,0,0,1
1,9147,18,5,5,16.2,5,5,5,16.4,3
1,9500,18,7,7,14.54285714,8,11,8,14.88181818,3
1,9500,19,7,7,13.69428571,8,9,8,14.35555556,3
1,9238,18,8,6,11.28571429,6,10,6,11.85714286,3
1,9500,20,11,6,11.75714286,8,12,6,13.08333333,2
0,9085,26,3,0,0,6,0,0,0,1
1,9500,19,8,7,13.05857143,8,8,7,13.05857143,3
1,9500,19,7,7,14.3,8,9,8,14.05555556,3
1,9147,19,15,5,11.8,10,14,8,12,3
1,9085,19,9,3,10.33333333,5,8,3,13,2
1,9254,18,7,6,10.57142857,6,11,3,11.66666667,3
1,9500,19,7,6,13.33333333,7,7,6,13.33333333,3
1,9238,18,10,6,11.85714286,6,9,5,11,3
1,9853,18,9,5,12.6,6,8,5,11.4,2
1,9085,18,11,5,14,5,7,5,11.6,2
1,9853,18,12,5,12,7,9,6,12.66666667,2
1,9119,26,6,0,0,5,5,0,0,1
1,9238,20,7,6,12,6,7,6,13,3
1,8014,19,6,6,12.66666667,6,6,6,11.66666667,3
1,9238,18,6,6,12.16666667,6,9,6,13.66666667,3
1,9238,19,6,6,13.33333333,6,6,6,14.66666667,3
1,9853,40,8,7,15,7,7,7,14.57142857,3
1,9500,18,8,8,13.39125,8,8,8,13.39125,3
1,9238,19,9,5,12.16666667,6,8,6,12.42857143,3
1,9130,18,9,4,11.25,5,6,4,12.5,3
1,9085,19,13,4,12,5,8,3,12,2
1,171,18,0,0,0,0,0,0,0,1
1,8014,33,7,6,12.83333333,6,8,6,12.85714286,3
1,9003,35,10,6,14,6,11,6,13.1,3
1,9147,26,5,4,13,5,7,2,12,2
1,9773,18,7,6,13.5,6,8,6,12.5,3
1,9238,36,24,13,10.69230769,13,19,9,12.30769231,2
1,9991,39,6,5,11,5,9,5,11.66666667,3
1,9238,44,8,6,13,6,6,6,13.83333333,3
1,8014,20,10,5,12,6,9,4,11.25,2
1,9254,24,9,4,12.6,6,6,4,11.5,1
1,9773,20,6,6,13.66666667,6,6,6,13.33333333,3
0,171,19,0,0,0,0,0,0,0,1
1,9500,18,7,6,14.2,7,7,6,14.2,3
0,9254,22,10,5,11,6,12,0,0,1
1,9085,18,7,6,15,6,7,6,16.42857143,3
1,9500,24,9,6,12.58571429,8,9,7,13.44285714,3
1,9991,33,0,0,0,5,0,0,0,1
1,9003,30,6,0,0,6,6,0,0,2
1,9085,26,0,0,0,6,0,0,0,1
1,9853,18,7,6,11.66666667,6,10,6,11.83333333,3
1,9773,19,13,3,12.66666667,6,12,2,10,1
1,9147,20,10,3,10.33333333,5,9,4,11,2
1,9085,22,18,8,13.5,9,16,7,13.71428571,3
1,9500,19,8,5,13.98,7,8,5,13.98,2
1,9085,21,13,6,16.15384615,6,10,6,15.75,3
1,9500,21,7,6,14.03333333,7,7,6,14.03333333,3
1,9085,19,8,1,11,5,6,5,11.2,2
1,9853,19,8,7,13.85714286,7,8,6,13.66666667,3
1,9500,18,8,7,13.41428571,8,8,7,13.41428571,1
1,8014,50,11,11,13.54545455,7,7,7,13.57142857,3
1,9991,31,11,4,11.25,5,10,4,10.83333333,2
1,9773,19,6,6,13.83333333,6,7,6,14.42857143,3
1,9991,35,8,5,12,5,9,5,12.85714286,3
1,9085,31,0,0,0,6,0,0,0,1
1,8014,42,14,10,11.9,11,14,10,12.8,2
0,9147,34,5,0,0,5,0,0,0,1
1,9500,18,7,7,15.13571429,8,8,8,15.2875,3
0,9853,18,7,7,12.28571429,7,8,6,13.33333333,2
1,9085,21,16,5,12.66666667,6,15,2,13.5,2
1,9500,26,13,5,12.74,8,12,6,10.97857143,1
1,9500,20,8,6,13.25,8,8,8,13.75,2
1,9238,19,13,3,10.33333333,6,12,3,10.33333333,2
1,9853,19,7,6,13.42857143,6,6,6,13.16666667,3
1,9147,20,19,9,12.55555556,9,14,8,11.11111111,3
1,9238,19,8,6,11.5,6,7,6,11.16666667,3
1,9853,18,6,6,13.66666667,6,9,6,12.33333333,3
1,9991,28,16,11,11.27272727,11,16,10,12,3
1,9853,22,10,5,13.16666667,6,8,5,12.4,2
1,8014,21,6,6,14.66666667,6,6,6,14.16666667,3
1,9085,21,11,4,12.75,6,19,1,11,2
1,9500,26,11,5,11.2,8,13,5,12.14,2
0,9773,18,8,5,13,6,8,5,11.4,1
0,9085,20,8,2,10.5,5,8,2,12.33333333,1
1,9085,18,7,6,14.85714286,6,7,6,14,3
1,9500,19,11,7,12.86,8,11,7,12.86,3
1,9238,20,12,11,11.72727273,11,14,11,12,3
1,9085,22,11,6,13.14285714,6,10,3,12,3
1,9670,18,6,5,11.8,6,9,4,13.71428571,1
1,9147,19,10,3,10.66666667,5,9,0,0,1
1,9070,18,9,5,11.6,6,8,4,11.2,2
1,9254,20,13,3,10.33333333,6,12,3,10.33333333,2
1,9773,19,11,4,12.25,6,11,3,11,2
1,9254,19,6,6,12,6,7,4,12.75,2
1,9500,19,8,7,14.73142857,8,8,7,14.73142857,3
1,171,18,0,0,0,0,0,0,0,3
1,9070,21,14,13,13.61538462,12,12,12,14.25,3
1,9991,27,5,5,15.8,5,5,5,14.8,3
1,9238,19,6,6,14.66666667,6,7,6,14.57142857,3
1,9085,25,5,0,0,5,5,0,0,1
1,9500,18,8,7,14.65428571,8,8,7,14.65428571,3
1,9500,24,8,7,12.40142857,8,8,7,12.40142857,3
1,9500,20,8,7,11.5875,8,9,7,14.07142857,3
1,9991,26,5,5,14,5,5,5,15.6,3
1,9238,20,9,6,12.33333333,6,6,6,11.83333333,3
1,9085,18,5,5,14,5,6,5,15.4,3
1,9085,19,13,6,15.23076923,6,10,6,12.375,3
1,9853,23,9,5,11.6,6,9,3,11,1
1,9500,18,7,6,11.6,7,7,6,11.6,3
1,9500,18,0,0,0,8,0,0,0,1
1,9500,19,7,7,12.90142857,8,9,8,13.09444444,3
1,9991,30,9,7,14.14285714,5,5,5,14.8,3
1,9085,29,0,0,0,6,0,0,0,1
1,9500,19,8,8,13.25375,8,8,8,13.25375,3
1,9556,20,7,7,13.78571429,8,8,8,14.1,3
1,9500,20,7,6,13.91666667,7,7,6,13.91666667,3
1,9670,19,8,6,13.5,6,9,6,13.57142857,3
1,9147,20,8,3,11.33333333,5,12,2,10.66666667,2
1,9085,21,8,0,0,5,12,0,0,1
1,9670,19,10,5,11.5,6,9,4,14.6,3
1,9500,18,8,7,12.08285714,8,8,7,12.08285714,3
1,8014,27,8,6,11.83333333,6,10,5,12.8,3
1,9147,19,6,5,13.4,5,5,5,12.4,3
1,9500,19,7,0,0,7,7,0,0,1
1,9773,19,7,5,14.2,6,7,6,14.57142857,3
1,9500,18,8,7,13.81428571,8,8,7,13.81428571,3
1,9254,20,10,4,11.25,6,6,6,10.5,2
1,9670,18,6,6,14.5,6,8,6,13.66666667,3
1,9670,19,0,0,0,6,0,0,0,1
1,9500,36,7,6,11.3,7,7,6,11.3,3
1,9556,18,2,0,0,4,4,1,16,2
1,9130,18,11,1,12,5,9,3,12,2
1,9500,19,9,7,12.3,8,9,7,12.3,3
1,9500,18,8,7,12.69428571,8,8,7,12.69428571,3
1,9670,18,5,4,11,5,5,4,11,3
1,9238,19,6,6,13,6,6,6,14.16666667,3
1,9500,19,8,7,14.4125,8,8,8,16.05,3
1,9500,18,8,7,12.92875,8,8,8,14.0625,1
1,9773,20,6,6,13.33333333,6,10,5,12.8,3
1,9254,20,8,5,12.8,6,9,5,12.8,2
1,9500,20,8,7,14.40285714,8,8,7,14.40285714,3
1,9500,18,8,7,13.38142857,8,8,7,13.38142857,3
1,9500,18,8,7,14.13125,8,8,8,13.98375,3
1,9085,19,11,5,11.71428571,5,6,5,12.6,3
1,9147,19,5,5,11.8,5,8,4,11.25,2
1,8014,44,9,6,11.16666667,6,15,2,11,3
1,9003,32,7,0,0,6,6,0,0,1
1,9853,22,9,5,13.6,6,8,5,12,1
1,9003,36,14,12,13.84615385,12,18,11,14.09090909,3
1,9773,18,7,6,12.5,6,8,6,13.33333333,3
1,9130,20,5,5,16.4,5,5,5,14.6,3
1,9070,20,11,11,13.81818182,11,11,11,13.45454545,3
1,9238,19,8,5,10.6,6,11,4,10.5,3
1,9147,24,8,5,10.2,5,6,5,12.2,3
1,9238,20,11,5,10.6,6,11,4,10.4,2
1,8014,27,10,9,11.44444444,11,11,5,10.8,1
1,9853,20,9,5,14.33333333,8,8,8,12.625,2
1,9238,23,18,16,13,13,15,13,13.26666667,3
1,9500,18,9,8,13.31,8,9,8,13.31,3
1,9238,18,10,5,10.57142857,6,9,5,12.2,3
1,9500,20,8,7,13.48714286,8,8,7,13.48714286,3
1,9254,20,6,6,12.33333333,6,7,6,11.83333333,3
1,9670,23,11,6,11.875,6,9,5,12.83333333,1
1,9500,20,7,6,13.96666667,7,7,6,13.96666667,3
0,9254,28,10,0,0,5,10,0,0,1
1,9670,21,8,4,11.5,5,5,5,12.8,3
1,9556,21,2,2,12.5,7,0,0,0,1
1,9500,28,0,0,0,8,0,0,0,1
1,9500,18,10,6,11.98,8,11,7,13.225,3
1,9238,21,8,5,13.2,6,7,5,11.8,2
1,9500,19,10,6,11.61428571,8,8,8,14.0375,3
1,9500,18,8,7,14.31428571,8,8,7,14.31428571,3
1,9500,19,0,0,0,8,0,0,0,1
1,9085,20,9,6,12.66666667,6,12,2,13,2
1,9500,20,9,6,12.76666667,8,10,7,12.12857143,3
1,9853,18,7,6,12.66666667,6,7,5,12.2,3
1,9670,20,7,6,11.5,6,10,4,10.57142857,1
1,9670,31,13,5,11.4,6,14,4,11.75,1
1,9500,19,8,7,14.70625,8,8,8,14.4775,3
1,9500,19,9,6,11.81428571,8,8,7,13.54285714,3
1,9070,23,8,6,13,6,8,6,11.875,3
1,9670,19,7,6,14.85714286,6,6,6,13.33333333,3
1,9500,20,7,6,12.6,7,7,6,12.6,3
1,9085,22,9,5,13.33333333,6,17,4,11.4,2
1,9853,18,10,6,10.66666667,7,12,6,12.83333333,2
0,9130,27,6,2,11.5,5,5,1,11,1
1,9556,29,9,1,10,7,0,0,0,1
1,9254,18,10,5,11.8,6,10,5,12.2,3
1,9070,18,7,5,11.8,6,6,6,12.66666667,3
1,9500,18,8,8,12.77125,8,8,8,12.77125,3
1,9085,20,13,3,11.33333333,5,8,5,12.6,2
